ExpressId,GlobalId,Family,Type,Base Constraint,Length,Width,Material:Name,Material:Description,Material:Area,Material:Volume
164816,2KDY8k2e98y8zvgV3Sje6E,Basic Wall,W-Internal Wall Plastering (12mm),First Floor,6121.333333333264,12.0,"Plastering Mix 1,6 CM","1:6 (1 part cement, 6 parts sand) for general interior, smooth-finish walls",29.68846666666633,0.35626159999999263
164928,2KDY8k2e98y8zvgV3Sje69,Basic Wall,W-Internal Wall Plastering (12mm),First Floor,9187.999999999993,12.0,"Plastering Mix 1,6 CM","1:6 (1 part cement, 6 parts sand) for general interior, smooth-finish walls",41.32179999999998,0.4958615999999948
165040,2KDY8k2e98y8zvgV3Sje68,Basic Wall,W-Internal Wall Plastering (12mm),First Floor,6121.333333333265,12.0,"Plastering Mix 1,6 CM","1:6 (1 part cement, 6 parts sand) for general interior, smooth-finish walls",26.750266666666356,0.32100319999998117
165188,2KDY8k2e98y8zvgV3Sje64,Basic Wall,W-Internal Wall Plastering (12mm),First Floor,1214.6666666666563,12.0,"Plastering Mix 1,6 CM","1:6 (1 part cement, 6 parts sand) for general interior, smooth-finish walls",3.069333333333288,0.03683199999999938
165285,2KDY8k2e98y8zvgV3Sje67,Basic Wall,W-Internal Wall Plastering (12mm),First Floor,920.000000000034,12.0,"Plastering Mix 1,6 CM","1:6 (1 part cement, 6 parts sand) for general interior, smooth-finish walls",4.462000000000171,0.05354400000000195
165343,2KDY8k2e98y8zvgV3Sje66,Basic Wall,W-Internal Wall Plastering (12mm),First Floor,1840.000000000014,12.0,"Plastering Mix 1,6 CM","1:6 (1 part cement, 6 parts sand) for general interior, smooth-finish walls",8.924000000000069,0.10708800000000547
165401,2KDY8k2e98y8zvgV3Sje61,Basic Wall,W-Internal Wall Plastering (12mm),First Floor,5201.3333333332475,12.0,"Plastering Mix 1,6 CM","1:6 (1 part cement, 6 parts sand) for general interior, smooth-finish walls",25.226466666666255,0.3027175999999945
165474,2KDY8k2e98y8zvgV3Sje60,Basic Wall,W-Internal Wall Plastering (12mm),First Floor,3054.666666666671,12.0,"Plastering Mix 1,6 CM","1:6 (1 part cement, 6 parts sand) for general interior, smooth-finish walls",12.655133333333355,0.15186159999999313
165571,2KDY8k2e98y8zvgV3Sje63,Basic Wall,W-Internal Wall Plastering (12mm),First Floor,6121.333333333283,12.0,"Plastering Mix 1,6 CM","1:6 (1 part cement, 6 parts sand) for general interior, smooth-finish walls",29.630266666666433,0.3555631999999965
165642,2KDY8k2e98y8zvgV3Sje6y,Basic Wall,W-Internal Wall Plastering (12mm),First Floor,4358.000000000013,12.0,"Plastering Mix 1,6 CM","1:6 (1 part cement, 6 parts sand) for general interior, smooth-finish walls",17.594500000000064,0.2111339999999994
165778,2KDY8k2e98y8zvgV3Sje6$,Basic Wall,W-Internal Wall Plastering (12mm),First Floor,6121.333333333283,12.0,"Plastering Mix 1,6 CM","1:6 (1 part cement, 6 parts sand) for general interior, smooth-finish walls",29.68846666666643,0.35626160000001256
