ExpressId,GlobalId,Family,Type,Level,Material:Name,Material:Description,Volume,Material:Volume
53769,1naJBYN8vFgexRUQE942T3,RCC RECTANGULAR COLUMN,RCC COLUMN (230mm x 600mm),Ground Floor,RCC - M30,"Laying Reinforced Cement Concrete (RCC) of M30 (1:0.75:1.5) with 20 mm nominal size graded aggregates, including reinforcement steel.",0.6416999999999994,0.6416999999999994
53831,1naJBYN8vFgexRUQE942T6,RCC RECTANGULAR COLUMN,RCC COLUMN (230mm x 600mm),Ground Floor,RCC - M30,"Laying Reinforced Cement Concrete (RCC) of M30 (1:0.75:1.5) with 20 mm nominal size graded aggregates, including reinforcement steel.",0.6416999999999996,0.6416999999999996
53893,1naJBYN8vFgexRUQE9422v,RCC RECTANGULAR COLUMN,RCC COLUMN (230mm x 600mm),Ground Floor,RCC - M30,"Laying Reinforced Cement Concrete (RCC) of M30 (1:0.75:1.5) with 20 mm nominal size graded aggregates, including reinforcement steel.",0.6416999999999985,0.6416999999999985
53955,1naJBYN8vFgexRUQE9422y,RCC RECTANGULAR COLUMN,RCC COLUMN (230mm x 600mm),Ground Floor,RCC - M30,"Laying Reinforced Cement Concrete (RCC) of M30 (1:0.75:1.5) with 20 mm nominal size graded aggregates, including reinforcement steel.",0.6416999999999993,0.6416999999999993
54017,1naJBYN8vFgexRUQE9422$,RCC RECTANGULAR COLUMN,RCC COLUMN (230mm x 600mm),Ground Floor,RCC - M30,"Laying Reinforced Cement Concrete (RCC) of M30 (1:0.75:1.5) with 20 mm nominal size graded aggregates, including reinforcement steel.",0.6416999999999992,0.6416999999999992
54079,1naJBYN8vFgexRUQE9422o,RCC RECTANGULAR COLUMN,RCC COLUMN (230mm x 600mm),Ground Floor,RCC - M30,"Laying Reinforced Cement Concrete (RCC) of M30 (1:0.75:1.5) with 20 mm nominal size graded aggregates, including reinforcement steel.",0.6417000000000002,0.6417000000000002
54141,1naJBYN8vFgexRUQE9422r,RCC RECTANGULAR COLUMN,RCC COLUMN (230mm x 600mm),Ground Floor,RCC - M30,"Laying Reinforced Cement Concrete (RCC) of M30 (1:0.75:1.5) with 20 mm nominal size graded aggregates, including reinforcement steel.",0.6417000000000002,0.6417000000000002
54203,1naJBYN8vFgexRUQE9422e,RCC RECTANGULAR COLUMN,RCC COLUMN (230mm x 600mm),Ground Floor,RCC - M30,"Laying Reinforced Cement Concrete (RCC) of M30 (1:0.75:1.5) with 20 mm nominal size graded aggregates, including reinforcement steel.",0.6417000000000004,0.6417000000000004
54265,1naJBYN8vFgexRUQE9422h,RCC RECTANGULAR COLUMN,RCC COLUMN (230mm x 600mm),Ground Floor,RCC - M30,"Laying Reinforced Cement Concrete (RCC) of M30 (1:0.75:1.5) with 20 mm nominal size graded aggregates, including reinforcement steel.",0.6416999999999998,0.6416999999999998
54327,1naJBYN8vFgexRUQE9422k,RCC RECTANGULAR COLUMN,RCC COLUMN (230mm x 600mm),Ground Floor,RCC - M30,"Laying Reinforced Cement Concrete (RCC) of M30 (1:0.75:1.5) with 20 mm nominal size graded aggregates, including reinforcement steel.",0.6416999999999999,0.6416999999999999
