ExpressId,GlobalId,IfcClass,Family,Type,Level,Material:Name,Material:Description,Material:Area,Material:Volume
212185,3ndJx5uTH1Kw82iITrju$p,IfcWall,Basic Wall,W-Skirting (100mm),Ground Floor,Tile,Flooring finished with 12mm thick ceramic tiles,0.9163999999999998,0.010996799999999482
212243,3ndJx5uTH1Kw82iITrju_F,IfcWall,Basic Wall,W-Skirting (100mm),Ground Floor,Tile,Flooring finished with 12mm thick ceramic tiles,0.36946666666666644,0.004433599999999789
212301,3ndJx5uTH1Kw82iITrju_B,IfcWall,Basic Wall,W-Skirting (100mm),Ground Floor,Tile,Flooring finished with 12mm thick ceramic tiles,0.6109333333333243,0.007331199999999549
212359,3ndJx5uTH1Kw82iITrju_7,IfcWall,Basic Wall,W-Skirting (100mm),Ground Floor,Tile,Flooring finished with 12mm thick ceramic tiles,0.7105999999999999,0.008527200000000368
212417,3ndJx5uTH1Kw82iITrju_3,IfcWall,Basic Wall,W-Skirting (100mm),Ground Floor,Tile,Flooring finished with 12mm thick ceramic tiles,0.21546666666667064,0.0025856000000003933
212475,3ndJx5uTH1Kw82iITrju_V,IfcWall,Basic Wall,W-Skirting (100mm),Ground Floor,Tile,Flooring finished with 12mm thick ceramic tiles,0.09966666666667563,0.0011960000000001596
212533,3ndJx5uTH1Kw82iITrju_R,IfcWall,Basic Wall,W-Skirting (100mm),Ground Floor,Tile,Flooring finished with 12mm thick ceramic tiles,0.18399999999999542,0.002207999999999842
212591,3ndJx5uTH1Kw82iITrju_N,IfcWall,Basic Wall,W-Skirting (100mm),Ground Floor,Tile,Flooring finished with 12mm thick ceramic tiles,0.3042666666666673,0.0036511999999998355
212649,3ndJx5uTH1Kw82iITrju_J,IfcWall,Basic Wall,W-Skirting (100mm),Ground Floor,Tile,Flooring finished with 12mm thick ceramic tiles,0.6097333333333244,0.00731679999999955
212707,3ndJx5uTH1Kw82iITrju_l,IfcWall,Basic Wall,W-Skirting (100mm),Ground Floor,Tile,Flooring finished with 12mm thick ceramic tiles,0.6109333333333241,0.007331199999999545
212765,3ndJx5uTH1Kw82iITrju_h,IfcWall,Basic Wall,W-Skirting (100mm),Ground Floor,Tile,Flooring finished with 12mm thick ceramic tiles,0.30186666666666695,0.0036223999999998335
212823,3ndJx5uTH1Kw82iITrju_d,IfcWall,Basic Wall,W-Skirting (100mm),Ground Floor,Tile,Flooring finished with 12mm thick ceramic tiles,1.6471333333333331,0.019765599999999068
212881,3ndJx5uTH1Kw82iITrju_Z,IfcWall,Basic Wall,W-Skirting (100mm),Ground Floor,Tile,Flooring finished with 12mm thick ceramic tiles,0.6097333333333244,0.00731679999999955
212939,3ndJx5uTH1Kw82iITrju_$,IfcWall,Basic Wall,W-Skirting (100mm),Ground Floor,Tile,Flooring finished with 12mm thick ceramic tiles,1.644733333333333,0.019736799999999066
